Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Tomar;0;0;127,195;3187,440914;284,523408;11340,32172;0;12,69021;13,674;0;14965,84525
Tondela;0;0;276,644;2486,930502;338,566358;8008,79436;0;0;5,101;0;11116,03622
Torre de Moncorvo;0;8,233;10,06;234,685632;51,442404;2170,60284;0;0;8,388;0;2483,411876
Torres Novas;0;0;259,094;2898,64268;204,655204;13649,80512;0;0;30,399;0;17042,596
Torres Vedras;0;0;931,41;5724,366098;446,355936;42284,80116;0;0;127,799;66,423;49581,15519
Trancoso;0;0;0;405,979168;128,721372;2858,5032;0;0;0,715;0;3393,91874
Trofa;0;0;161,254;4054,413766;244,69185;19065,67404;0;0;888,799;3,016;24417,84866
Vagos;0;0;0,319;1550,6729;225,930068;6396,46644;0;0;132,935;0;8306,323408
Vale de Cambra;0;0;9,982;1909,893534;196,329536;7782,97968;0;0;20,99;0;9920,17475
Valença;0;0;36,985;397,884322;37,126206;2932,53492;0;0;3,14;0;3407,670448
Valongo;0;0;441,388;10776,81373;444,66773;38343,01884;0;0;216,298;0;50222,1863
Valpaços;0;0;0;469,433182;81,113058;2932,95408;0;0;15,966;0;3499,46632
Velas;0;0;0;618,771938;12,073048;828,44244;0;0;4,566;0;1463,853426
Vendas Novas;0;0;5,267;1001,225996;73,222448;5571,2202;0;0;0,706;80,08;6731,721644
Viana do Alentejo;0;0;0;286,129046;17,942184;1479,48948;0;0;228,299;0;2011,85971
Viana do Castelo;0;0;68,917;7353,615178;487,91717;21413,0448;612,96732;0;131,234;11,501;30079,19647
Vidigueira;0;0;0;383,894584;36,35788;1176,86436;0;0;3,643;0;1600,759824
Vieira do Minho;0;0;0;508,40646;73,366462;1717,91172;0;0;0;0;2299,684642
